firm,award_title,agency,award_year,award_amount,socially_economically_disadvantaged
"SOL ROBOTICS, INC",SBIR Phase I: A Robotic Arm Architecture for Affordable Robots with Enhanced Reach and Payload,NSF,2025,304952.0,N
"Therapeutic Bandage Products, Inc.",SBIR Phase I: Microneedle Bandage for Diabetic Foot Ulcers,NSF,2025,305000.0,N
LuxNour Technologies Inc,SBIR Phase I: Efficient Transfer Technology for Ultra-Thin Dies (UTD) in Advanced Semiconductor Chip Packaging,NSF,2025,304507.0,N
"Coherent Photonics, Limited Liability Company",SBIR Phase I: Metasurface Optical Waveguides for Compact and Scalable Optical Systems,NSF,2025,305000.0,N
"JULIA JEAN, LLC",SBIR Phase I: Novel Cold Cathode E-Beam Sources for Advancing Semiconductor Manufacturing,NSF,2025,305000.0,N
Rainbow Hospitality LLC dba Curry Fresh,SBIR Phase I: Turmeric Assisted Pressure Sterilization,NSF,2025,302965.0,Y
"Core Biotherapeutics, Inc",SBIR Phase I: Determination of the Mechanisms Driving Diseases at the Molecular Network Level to Develop Disruptive Drug Candidates,NSF,2025,303864.0,N
Main Engineering LLC,SBIR Phase I: High-Precision Timing Devices for Research and Industry,NSF,2025,305000.0,N
EMODE PHOTONIX LLC,SBIR Phase I: Nonlinear Eigenmode Expansion Method for Integrated Quantum Photonics,NSF,2025,305000.0,N
NEXTGENEDU INC,SBIR Phase I:  An Adaptive AI-Driven Career Exploration Platform,NSF,2025,304993.0,N
OAKGROVE BIO LLC,SBIR Phase II: Cost-Effective Peptide Production Platform,NSF,2025,1000000.0,N
Simmbion LLC,STTR Phase II: Living Pharmacy for Diabetes and Obesity Treatment,NSF,2025,1000000.0,Y
REGENERATED TEXTILE INDUSTRIES LLC,SBIR Phase II: Establishing Manufacturing Standards for Textile-Derived Recycled Polyester Feedstock,NSF,2025,994863.0,N
Galvanix Inc.,SBIR Phase I: Novel Process for Neodymium Manufacturing Using Continuous Chloride Electrolysis,NSF,2025,305000.0,N
"Aeris Water Technologies, LLC",SBIR Phase I: Water from Air: An Adsorption-Based Atmospheric Water Harvester,NSF,2025,304996.0,N
"LYOWAVE, INC",SBIR Phase I: Scaling Up Tunable High-Frequency Microwave Heating for Pharmaceutical and Biologics Manufacturing,NSF,2025,304436.0,N
NanoRes LLC,SBIR Phase I: User-Centric Super Resolution Imaging System Dissecting Molecular Composition and Ultrastructure in Cells and Tissues,NSF,2025,305000.0,N
"Palena Therapeutics, Inc.",SBIR Phase I: Novel Peptide Immunomodulators for Treatment of Autoimmune and Inflammatory Disorders,NSF,2025,305000.0,N
NOVAURUM BIOSCIENCES INCORPORATED,SBIR Phase I: Development of a Novel Mammalian Cell-Based Nano-Biological Coating for Implantable Medical Devices.,NSF,2025,305000.0,N
GIANT BioSystems Inc.,SBIR Phase I:  High-Throughput AST Using Gradient-Based Microfluidic,NSF,2025,305000.0,N
"RESONANTIA DIAGNOSTICS, INC.",SBIR Phase I: Acoustic Sensor Based Point of Care Diagnostic Platform for Rapid Identification and Antimicrobial Susceptibility Testing,NSF,2025,305000.0,N
Stellar Engiine,SBIR Phase I: Advanced PEALD Processing Technology using Nanosecond Pulse Power,NSF,2025,305000.0,N
"AUXILIUM HEALTH, INC.","SBIR Phase I: An Aerogel Wound Dressing Material Platform with Mechanical Fluid Management, Biofilm Prevention, and pH based Infection Detection Properties",NSF,2025,275000.0,N
NEXUMA L.L.C.,SBIR Phase I: Microbially-Driven Underground Barrier to Reduce Flooding in Coastal Communities,NSF,2025,304988.0,N
DAYZERO WATER LLC,"SBIR Phase I: Effective, Affordable, UV Treatment Technology for Microbiologically Contaminated Water",NSF,2025,304950.0,N
"SPEARSTONE SOLUTIONS, LLC",SBIR Phase I: Separation of Clean Gypsum from Phosphate Ore Processing Waste,NSF,2025,305000.0,Y
GENTIAM CONSULTING LLC,Universal Battery Integration Module for Hybrid and Electric Aircraft Powertrains,NASA,2025,156500.0,U
PHYSICAL SCIENCES INC.,"Next Generation, Aviation-Ready Modular Energy Storage Solution for Electric and Hybrid Aircraft",NASA,2025,149991.0,U
"MAGDRIVE TECHNOLOGIES, INC.",E-Drive: Electromagnetic Zero-Emission Valve Drive,NASA,2025,155765.0,U
SPACEWORKS ENTERPRISES INC,FuseBlox System for Robotically-Assisted Cryogenic Applications,NASA,2025,149983.0,U
Bired Imaging Inc,SBIR Phase I: Efficient Thermal-Spatial Point-Cloud Extraction and Rapid Assessment of Physics-Based AI Algorithm from Infrared Images to Increase Early Detection of Breast Cancer,NSF,2025,305000.0,N
"LUCA AI, LLC",SBIR Phase I: Adaptive Phonetic Analysis for Personalized Dyslexia Reading Support,NSF,2025,304935.0,N
"ND-DIAGENOMIX, INC.",STTR Phase I:  Design a Just-In-Time Formative Assessment Algorithm for an Adaptive Education Platform,NSF,2025,305000.0,N
"UBIQUITY ROBOTICS, INC.",MAGNI ROBOT: Mobile Autonomous Ground Navigation Integrated Robot for Optimizing Base Operational Tasks,DOD,2025,74863.0,N
ANVIL DIAGNOSTICS INC.,SBIR Phase I:  Ultra-Sensitive and Multiplexed Pathogen Profiling for Neonatal Sepsis Detection,NSF,2025,298646.0,N
RT MicroDx Inc.,SBIR Phase I:  Development of a Molecular Diagnostic Platform for Use at Home without an Expensive Table-top Device,NSF,2025,274362.0,N
